Data information of 192.168.250.1
Time,Sent Data, Total Data
2020-02-25 03:50:42,1196,467653
2020-02-25 03:50:42,156,467809
2020-02-25 03:50:42,524,468333
2020-02-25 03:50:42,490,468823
2020-02-25 03:50:42,1078,469901
2020-02-25 03:50:42,490,470391
2020-02-25 03:50:42,426,470817
2020-02-25 03:50:42,426,471243
2020-02-25 03:50:49,1076,472319
2020-02-25 03:50:49,1070,473389
2020-02-25 03:50:50,1054,474443
2020-02-25 03:50:50,1052,475495
2020-02-25 03:50:50,772,476267
2020-02-25 03:50:50,936,477203
2020-02-25 03:50:56,676,477879
2020-02-25 03:50:56,146,478025
2020-02-25 03:50:56,1066,479091
2020-02-25 03:50:56,682,479773
2020-02-25 03:50:57,658,480431
2020-02-25 03:50:57,1064,481495
2020-02-25 03:50:57,120,481615
2020-02-25 03:50:57,1060,482675
2020-02-25 03:50:57,120,482795
2020-02-25 03:50:57,1062,483857
2020-02-25 03:50:57,120,483977
2020-02-25 03:50:57,620,484597
2020-02-25 03:50:57,620,485217
2020-02-25 03:50:57,844,486061
2020-02-25 03:50:57,848,486909
2020-02-25 03:50:57,1070,487979
2020-02-25 03:50:57,1064,489043
2020-02-25 03:50:57,120,489163
2020-02-25 03:50:57,440,489603
2020-02-25 03:50:58,1066,490669
2020-02-25 03:50:58,120,490789
2020-02-25 03:50:58,514,491303
2020-02-25 03:50:58,1026,492329
2020-02-25 03:50:58,1054,493383
2020-02-25 03:50:58,120,493503
2020-02-25 03:50:58,266,493769
2020-02-25 03:50:59,152,493921
2020-02-25 03:51:00,322,494243
2020-02-25 03:51:00,124,494367
2020-02-25 03:51:00,140,494507
2020-02-25 03:51:04,676,495183
2020-02-25 03:51:04,146,495329
2020-02-25 03:51:04,1054,496383
2020-02-25 03:51:04,120,496503
2020-02-25 03:51:04,660,497163
2020-02-25 03:51:04,682,497845
2020-02-25 03:51:04,658,498503
2020-02-25 03:51:04,620,499123
2020-02-25 03:51:04,844,499967
2020-02-25 03:51:04,736,500703
2020-02-25 03:51:04,1078,501781
2020-02-25 03:51:04,120,501901
2020-02-25 03:51:05,658,502559
2020-02-25 03:51:05,650,503209
2020-02-25 03:51:05,848,504057
2020-02-25 03:51:05,1062,505119
2020-02-25 03:51:05,120,505239
2020-02-25 03:51:06,152,505391
2020-02-25 03:51:17,1062,506453
2020-02-25 03:51:17,761,507214
2020-02-25 03:51:17,1076,508290
2020-02-25 03:51:17,848,509138
2020-02-25 03:51:31,152,509290
2020-02-25 03:51:32,322,509612
2020-02-25 03:51:32,124,509736
2020-02-25 03:51:32,140,509876
2020-02-25 03:51:33,1062,510938
2020-02-25 03:51:33,761,511699
2020-02-25 03:51:33,1076,512775
2020-02-25 03:51:33,848,513623
2020-02-25 03:51:38,1066,514689
2020-02-25 03:51:38,120,514809
2020-02-25 03:51:38,1062,515871
2020-02-25 03:51:38,120,515991
2020-02-25 03:51:38,478,516469
2020-02-25 03:51:38,692,517161
2020-02-25 03:51:38,136,517297
2020-02-25 03:51:38,592,517889
2020-02-25 03:51:38,930,518819
2020-02-25 03:51:38,1058,519877
2020-02-25 03:51:40,468,520345
2020-02-25 03:51:40,1062,521407
2020-02-25 03:51:40,120,521527
2020-02-25 03:51:40,1076,522603
2020-02-25 03:51:40,120,522723
2020-02-25 03:51:42,218,522941
2020-02-25 03:51:54,414,523355
2020-02-25 03:51:54,468,523823
2020-02-25 03:51:54,512,524335
2020-02-25 03:51:56,138,524473
2020-02-25 03:51:58,112,524585
2020-02-25 03:52:03,1062,525647
2020-02-25 03:52:03,793,526440
2020-02-25 03:52:03,1076,527516
2020-02-25 03:52:03,880,528396
2020-02-25 03:52:04,322,528718
2020-02-25 03:52:04,124,528842
2020-02-25 03:52:04,140,528982
2020-02-25 03:52:04,152,529134
2020-02-25 03:52:04,142,529276
2020-02-25 03:52:04,566,529842
2020-02-25 03:52:04,566,530408
2020-02-25 03:52:09,1076,531484
2020-02-25 03:52:09,1670,533154
2020-02-25 03:52:10,1054,534208
2020-02-25 03:52:10,757,534965
2020-02-25 03:52:10,998,535963
2020-02-25 03:52:11,936,536899
2020-02-25 03:52:15,468,537367
2020-02-25 03:52:21,146,537513
2020-02-25 03:52:21,416,537929
2020-02-25 03:52:21,416,538345
2020-02-25 03:52:22,1074,539419
2020-02-25 03:52:22,120,539539
2020-02-25 03:52:22,1076,540615
2020-02-25 03:52:22,120,540735
2020-02-25 03:52:22,114,540849
2020-02-25 03:52:22,98,540947
2020-02-25 03:52:23,318,541265
2020-02-25 03:52:23,120,541385
2020-02-25 03:52:23,1253,542638
2020-02-25 03:52:23,449,543087
2020-02-25 03:52:27,318,543405
2020-02-25 03:52:30,1062,544467
2020-02-25 03:52:30,809,545276
2020-02-25 03:52:31,558,545834
2020-02-25 03:52:35,322,546156
2020-02-25 03:52:35,124,546280
2020-02-25 03:52:35,140,546420
2020-02-25 03:52:36,152,546572
2020-02-25 03:52:42,218,546790
2020-02-25 03:53:06,322,547112
2020-02-25 03:53:06,124,547236
2020-02-25 03:53:06,140,547376
2020-02-25 03:53:08,152,547528
2020-02-25 03:53:17,438,547966
2020-02-25 03:53:17,1076,549042
2020-02-25 03:53:17,1526,550568
2020-02-25 03:53:18,998,551566
2020-02-25 03:53:18,1054,552620
2020-02-25 03:53:18,757,553377
2020-02-25 03:53:19,936,554313
2020-02-25 03:53:28,586,554899
2020-02-25 03:53:30,1062,555961
2020-02-25 03:53:30,120,556081
2020-02-25 03:53:30,140,556221
2020-02-25 03:53:30,140,556361
2020-02-25 03:53:30,138,556499
2020-02-25 03:53:30,140,556639
2020-02-25 03:53:30,140,556779
2020-02-25 03:53:30,622,557401
2020-02-25 03:53:37,322,557723
2020-02-25 03:53:37,124,557847
2020-02-25 03:53:37,140,557987
2020-02-25 03:53:40,152,558139
2020-02-25 03:53:43,218,558357
2020-02-25 03:53:50,146,558503
2020-02-25 03:53:50,740,559243
2020-02-25 03:53:50,124,559367
2020-02-25 03:53:50,108,559475
2020-02-25 03:53:50,318,559793
2020-02-25 03:53:52,114,559907
2020-02-25 03:53:52,98,560005
2020-02-25 03:53:52,318,560323
2020-02-25 03:54:09,322,560645
2020-02-25 03:54:09,124,560769
2020-02-25 03:54:09,140,560909
2020-02-25 03:54:13,152,561061
2020-02-25 03:54:22,576,561637
2020-02-25 03:54:26,450,562087
2020-02-25 03:54:26,1074,563161
2020-02-25 03:54:26,815,563976
2020-02-25 03:54:26,358,564334
2020-02-25 03:54:26,460,564794
2020-02-25 03:54:27,502,565296
2020-02-25 03:54:40,322,565618
2020-02-25 03:54:40,124,565742
2020-02-25 03:54:40,140,565882
2020-02-25 03:54:43,218,566100
2020-02-25 03:54:44,520,566620
2020-02-25 03:54:45,518,567138
2020-02-25 03:54:45,516,567654
2020-02-25 03:54:45,152,567806
2020-02-25 03:54:47,142,567948
2020-02-25 03:54:48,622,568570
2020-02-25 03:54:48,642,569212
2020-02-25 03:54:48,616,569828
2020-02-25 03:54:52,626,570454
2020-02-25 03:54:52,440,570894
2020-02-25 03:54:52,440,571334
2020-02-25 03:54:52,116,571450
2020-02-25 03:54:52,586,572036
2020-02-25 03:54:53,142,572178
2020-02-25 03:54:57,616,572794
2020-02-25 03:54:57,298,573092
2020-02-25 03:55:01,606,573698
2020-02-25 03:55:02,544,574242
2020-02-25 03:55:06,624,574866
2020-02-25 03:55:10,616,575482
2020-02-25 03:55:11,322,575804
2020-02-25 03:55:11,124,575928
2020-02-25 03:55:11,140,576068
2020-02-25 03:55:17,146,576214
2020-02-25 03:55:17,620,576834
2020-02-25 03:55:17,720,577554
2020-02-25 03:55:17,1010,578564
2020-02-25 03:55:17,1241,579805
2020-02-25 03:55:17,1062,580867
2020-02-25 03:55:17,793,581660
2020-02-25 03:55:17,1076,582736
2020-02-25 03:55:17,880,583616
2020-02-25 03:55:17,966,584582
2020-02-25 03:55:17,152,584734
2020-02-25 03:55:27,1074,585808
2020-02-25 03:55:27,815,586623
2020-02-25 03:55:31,1066,587689
2020-02-25 03:55:31,811,588500
2020-02-25 03:55:32,1070,589570
2020-02-25 03:55:32,765,590335
2020-02-25 03:55:32,1058,591393
2020-02-25 03:55:32,743,592136
2020-02-25 03:55:32,1066,593202
2020-02-25 03:55:32,763,593965
2020-02-25 03:55:32,1054,595019
2020-02-25 03:55:32,789,595808
2020-02-25 03:55:32,1062,596870
2020-02-25 03:55:32,793,597663
2020-02-25 03:55:32,1076,598739
2020-02-25 03:55:32,880,599619
2020-02-25 03:55:42,322,599941
2020-02-25 03:55:42,124,600065
2020-02-25 03:55:42,140,600205
2020-02-25 03:55:43,218,600423
2020-02-25 03:55:49,152,600575
2020-02-25 03:55:50,809,601384
2020-02-25 03:55:51,934,602318
2020-02-25 03:55:59,1066,603384
2020-02-25 03:55:59,875,604259
2020-02-25 03:56:00,1062,605321
2020-02-25 03:56:00,809,606130
2020-02-25 03:56:00,798,606928
2020-02-25 03:56:01,621,607549
2020-02-25 03:56:01,621,608170
2020-02-25 03:56:01,612,608782
2020-02-25 03:56:01,792,609574
2020-02-25 03:56:01,792,610366
2020-02-25 03:56:01,783,611149
2020-02-25 03:56:01,620,611769
2020-02-25 03:56:01,576,612345
2020-02-25 03:56:01,562,612907
2020-02-25 03:56:01,444,613351
2020-02-25 03:56:01,136,613487
2020-02-25 03:56:01,1062,614549
2020-02-25 03:56:01,120,614669
2020-02-25 03:56:01,540,615209
2020-02-25 03:56:02,612,615821
2020-02-25 03:56:02,1070,616891
2020-02-25 03:56:02,120,617011
